epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,362.505,0.24499,0.22724,0.81124,0.9393,1,0.99393,0.98229,0.21306,0.24923,0.76808,0.0002774,0.0002774,0.0002774
89,365.95,0.22771,0.2149,0.80783,0.95347,1,0.99393,0.97913,0.21743,0.24211,0.76649,0.0002576,0.0002576,0.0002576
90,369.426,0.22423,0.21593,0.80167,0.95033,1,0.995,0.98252,0.21383,0.24755,0.76688,0.0002378,0.0002378,0.0002378
91,377.215,0.22072,0.22609,0.75521,0.93006,1,0.995,0.98472,0.21278,0.24538,0.76808,0.000218,0.000218,0.000218
92,381.286,0.21672,0.21417,0.7803,0.964,1,0.995,0.98393,0.21639,0.23596,0.76729,0.0001982,0.0001982,0.0001982
93,384.417,0.20839,0.21421,0.76757,0.98615,1,0.995,0.98649,0.22575,0.22433,0.76736,0.0001784,0.0001784,0.0001784
94,389.874,0.20136,0.21015,0.77935,0.99044,1,0.995,0.98552,0.21951,0.21711,0.76693,0.0001586,0.0001586,0.0001586
95,393.517,0.18889,0.188,0.77642,0.9917,1,0.995,0.98567,0.22344,0.21992,0.76684,0.0001388,0.0001388,0.0001388
96,396.951,0.19599,0.18625,0.77362,0.99364,1,0.995,0.98162,0.22045,0.20324,0.76574,0.000119,0.000119,0.000119
97,401.524,0.19969,0.19151,0.74516,0.99358,1,0.995,0.98446,0.20727,0.19574,0.76492,9.92e-05,9.92e-05,9.92e-05
98,405.545,0.19938,0.19465,0.76702,0.99426,1,0.995,0.98738,0.19967,0.18525,0.76458,7.94e-05,7.94e-05,7.94e-05
99,409.01,0.18575,0.18621,0.76284,0.99425,1,0.995,0.98728,0.20336,0.18766,0.76445,5.96e-05,5.96e-05,5.96e-05
100,412.391,0.19404,0.18587,0.78133,0.99382,1,0.995,0.98086,0.2104,0.18762,0.76483,3.98e-05,3.98e-05,3.98e-05
